Number of measurement points: 5963
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	1.7754257034976	-0.00561130838468671
1	0.01	1.7754257034976	-0.00690098037011921
2	0.02	1.77413603151217	-0.00561130838468671
3	0.03	1.7754257034976	-0.00561130838468671
4	0.04	1.77413603151217	-0.00690098037011921
5	0.05	1.77413603151217	-0.00561130838468671
6	0.06	1.77413603151217	-0.00690098037011921
7	0.07	1.77284635952674	-0.00561130838468671
8	0.08	1.77284635952674	-0.00561130838468671
9	0.09	1.77284635952674	-0.00690098037011921
10	0.1	1.77284635952674	-0.00561130838468671
11	0.11	1.77284635952674	-0.00561130838468671
12	0.12	1.77284635952674	-0.00561130838468671
13	0.13	1.77284635952674	-0.00561130838468671
14	0.14	1.77155668754131	-0.00561130838468671
15	0.15	1.77284635952674	-0.00561130838468671
16	0.16	1.77284635952674	-0.00561130838468671
17	0.17	1.77413603151217	-0.00561130838468671
18	0.18	1.77413603151217	-0.00561130838468671
19	0.19	1.7754257034976	-0.00561130838468671
20	0.2	1.7754257034976	-0.00561130838468671
21	0.21	1.7754257034976	-0.00690098037011921
22	0.22	1.77671537548304	-0.00561130838468671
23	0.23	1.77671537548304	-0.00561130838468671
24	0.24	1.77800504746847	-0.00561130838468671
25	0.25	1.77800504746847	-0.00561130838468671
26	0.26	1.77800504746847	-0.00561130838468671
27	0.27	1.77800504746847	-0.00561130838468671
28	0.28	1.7792947194539	-0.00561130838468671
29	0.29	1.7792947194539	-0.00690098037011921
30	0.3	1.7792947194539	-0.00561130838468671
31	0.31	1.78058439143933	-0.00561130838468671
32	0.32	1.78058439143933	-0.00561130838468671
33	0.33	1.78058439143933	-0.00561130838468671
34	0.34	1.78058439143933	-0.00690098037011921
35	0.35	1.78058439143933	-0.00561130838468671
36	0.36	1.78187406342477	-0.00690098037011921
37	0.37	1.78058439143933	-0.00561130838468671
38	0.38	1.78187406342477	-0.00561130838468671
39	0.39	1.78187406342477	-0.00561130838468671
40	0.4	1.78187406342477	-0.00561130838468671
41	0.41	1.78187406342477	-0.00561130838468671
42	0.42	1.7831637354102	-0.00561130838468671
43	0.43	1.7831637354102	-0.00561130838468671
44	0.44	1.78187406342477	-0.00561130838468671
45	0.45	1.7831637354102	-0.00561130838468671
46	0.46	1.7831637354102	-0.00561130838468671
47	0.47	1.7831637354102	-0.00561130838468671
48	0.48	1.7831637354102	-0.00561130838468671
49	0.49	1.78445340739563	-0.00561130838468671
50	0.5	1.78445340739563	-0.00561130838468671
51	0.51	1.78445340739563	-0.00561130838468671
52	0.52	1.78445340739563	-0.00561130838468671
53	0.53	1.78445340739563	-0.00561130838468671
54	0.54	1.78445340739563	-0.00561130838468671
55	0.55	1.78445340739563	-0.00561130838468671
56	0.56	1.78445340739563	-0.00561130838468671
57	0.57	1.78445340739563	-0.00561130838468671
58	0.58	1.78445340739563	-0.00561130838468671
59	0.59	1.78445340739563	-0.00690098037011921
60	0.6	1.78445340739563	-0.00561130838468671
61	0.61	1.78445340739563	-0.00690098037011921
62	0.62	1.78445340739563	-0.00561130838468671
63	0.63	1.78445340739563	-0.00561130838468671
64	0.64	1.78445340739563	-0.00561130838468671
65	0.65	1.78574307938106	-0.00561130838468671
66	0.66	1.78445340739563	-0.00561130838468671
67	0.67	1.78445340739563	-0.00561130838468671
68	0.68	1.78445340739563	-0.00561130838468671
69	0.69	1.78574307938106	-0.00561130838468671
70	0.7	1.78445340739563	-0.00561130838468671
71	0.71	1.78445340739563	-0.00561130838468671
72	0.72	1.78574307938106	-0.0043216363992542
73	0.73	1.78445340739563	-0.00561130838468671
74	0.74	1.78574307938106	-0.0043216363992542
75	0.75	1.78445340739563	-0.00561130838468671
76	0.76	1.78574307938106	-0.00561130838468671
77	0.77	1.78445340739563	-0.00561130838468671
78	0.78	1.78445340739563	-0.00690098037011921
79	0.79	1.78445340739563	-0.00561130838468671
80	0.8	1.78445340739563	-0.00561130838468671
81	0.81	1.78445340739563	-0.00561130838468671
82	0.82	1.78574307938106	-0.0043216363992542
83	0.83	1.78445340739563	-0.00690098037011921
84	0.84	1.78445340739563	-0.00561130838468671
85	0.85	1.78445340739563	-0.00561130838468671
86	0.86	1.78445340739563	-0.00561130838468671
87	0.87	1.78445340739563	-0.0043216363992542
88	0.88	1.78445340739563	-0.00561130838468671
89	0.89	1.78445340739563	-0.00561130838468671
